"Año";"Trimestre";"Mes";"Juego";"Cantidades jugadas";"GGR"
2013;"2013.T2";"Mayo";"Póquer Cash";142803930;3791287
2013;"2013.T2";"Mayo";"Póquer Torneo";41107194;1941025
2013;"2013.T2";"Mayo";"Ruleta Convencional";82606925;2011375
2013;"2013.T2";"Mayo";"Ruleta en Vivo";77;10
2013;"2013.T2";"Junio";"Ap. Cruzadas";0;0
2013;"2013.T2";"Junio";"Ap. Dep. de Contrap. Convencionales";152493062;6767380
2013;"2013.T2";"Junio";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T2";"Junio";"Ap. Deportivas Mutuas";40474;17814
2013;"2013.T2";"Junio";"Ap. Hípicas de Contrapartida";2173177;106324
2013;"2013.T2";"Junio";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T2";"Junio";"Bingo";4725906;597430
2013;"2013.T2";"Junio";"Black Jack";32714737;786673
2013;"2013.T2";"Junio";"Concursos";600224;364150
2013;"2013.T2";"Junio";"Juegos Complementarios";6597;1373
2013;"2013.T2";"Junio";"Máquinas de Azar";0;0
2013;"2013.T2";"Junio";"Otras Ap. de Contrapartida";454;131
2013;"2013.T2";"Junio";"Punto y Banca";143180;2173
2013;"2013.T2";"Junio";"Póquer Cash";132604377;3558941
2013;"2013.T2";"Junio";"Póquer Torneo";36911221;1583200
2013;"2013.T2";"Junio";"Ruleta Convencional";67751377;1915774
2013;"2013.T2";"Junio";"Ruleta en Vivo";70;14
2013;"2013.T3";"Julio";"Ap. Cruzadas";0;0
2013;"2013.T3";"Julio";"Ap. Dep. de Contrap. Convencionales";126943251;7570896
2013;"2013.T3";"Julio";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T3";"Julio";"Ap. Deportivas Mutuas";22772;18259
2013;"2013.T3";"Julio";"Ap. Hípicas de Contrapartida";2029753;84305
2013;"2013.T3";"Julio";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T3";"Julio";"Bingo";4703034;574299
2013;"2013.T3";"Julio";"Black Jack";34064385;848717
2013;"2013.T3";"Julio";"Concursos";578695;424177
2013;"2013.T3";"Julio";"Juegos Complementarios";6638;491
2013;"2013.T3";"Julio";"Máquinas de Azar";0;0
2013;"2013.T3";"Julio";"Otras Ap. de Contrapartida";0;0
2013;"2013.T3";"Julio";"Punto y Banca";156137;4131
2013;"2013.T3";"Julio";"Póquer Cash";138928385;3556940
2013;"2013.T3";"Julio";"Póquer Torneo";36012485;1572373
2013;"2013.T3";"Julio";"Ruleta Convencional";72901133;1920003
2013;"2013.T3";"Julio";"Ruleta en Vivo";57384;1904
2013;"2013.T3";"Agosto";"Ap. Cruzadas";0;0
2013;"2013.T3";"Agosto";"Ap. Dep. de Contrap. Convencionales";164302106;8929391
2013;"2013.T3";"Agosto";"Ap. Dep. de Contrap. en Directo";0;0
2013;"2013.T3";"Agosto";"Ap. Deportivas Mutuas";30244;9302
2013;"2013.T3";"Agosto";"Ap. Hípicas de Contrapartida";2104109;206538
2013;"2013.T3";"Agosto";"Apuestas Hípicas Mutuas";0;0
2013;"2013.T3";"Agosto";"Bingo";4705381;606849
2013;"2013.T3";"Agosto";"Black Jack";27280304;691281
2013;"2013.T3";"Agosto";"Concursos";537433;423775
2013;"2013.T3";"Agosto";"Juegos Complementarios";16120;721
2013;"2013.T3";"Agosto";"Máquinas de Azar";0;0
2013;"2013.T3";"Agosto";"Otras Ap. de Contrapartida";0;0
2013;"2013.T3";"Agosto";"Punto y Banca";73450;2136
2013;"2013.T3";"Agosto";"Póquer Cash";136482444;3568222
2013;"2013.T3";"Agosto";"Póquer Torneo";36178884;1682476
