Edad;Sexo;Periodo;Total
De 35 a 39 años;Mujeres;2015T1;21,53
De 35 a 39 años;Mujeres;2014T4;21,94
De 35 a 39 años;Mujeres;2014T3;22,88
De 35 a 39 años;Mujeres;2014T2;21,57
De 35 a 39 años;Mujeres;2014T1;24,04
De 35 a 39 años;Mujeres;2013T4;24,55
De 35 a 39 años;Mujeres;2013T3;23,40
De 35 a 39 años;Mujeres;2013T2;24,46
De 35 a 39 años;Mujeres;2013T1;24,88
De 35 a 39 años;Mujeres;2012T4;24,59
De 35 a 39 años;Mujeres;2012T3;22,13
De 35 a 39 años;Mujeres;2012T2;21,73
De 35 a 39 años;Mujeres;2012T1;22,36
De 35 a 39 años;Mujeres;2011T4;21,63
De 35 a 39 años;Mujeres;2011T3;20,02
De 35 a 39 años;Mujeres;2011T2;18,42
De 35 a 39 años;Mujeres;2011T1;19,69
De 35 a 39 años;Mujeres;2010T4;19,18
De 35 a 39 años;Mujeres;2010T3;19,81
De 35 a 39 años;Mujeres;2010T2;20,09
De 35 a 39 años;Mujeres;2010T1;20,35
De 35 a 39 años;Mujeres;2009T4;18,10
De 35 a 39 años;Mujeres;2009T3;15,33
De 35 a 39 años;Mujeres;2009T2;15,98
De 35 a 39 años;Mujeres;2009T1;17,08
De 35 a 39 años;Mujeres;2008T4;13,50
De 35 a 39 años;Mujeres;2008T3;11,22
De 35 a 39 años;Mujeres;2008T2;10,40
De 35 a 39 años;Mujeres;2008T1;10,43
De 35 a 39 años;Mujeres;2007T4;8,58
De 35 a 39 años;Mujeres;2007T3;9,16
De 35 a 39 años;Mujeres;2007T2;9,51
De 35 a 39 años;Mujeres;2007T1;10,47
De 35 a 39 años;Mujeres;2006T4;10,65
De 35 a 39 años;Mujeres;2006T3;9,55
De 35 a 39 años;Mujeres;2006T2;9,35
De 35 a 39 años;Mujeres;2006T1;10,21
De 35 a 39 años;Mujeres;2005T4;10,29
De 35 a 39 años;Mujeres;2005T3;10,24
De 35 a 39 años;Mujeres;2005T2;10,29
De 35 a 39 años;Mujeres;2005T1;11,88
De 35 a 39 años;Mujeres;2004T4;14,20
De 35 a 39 años;Mujeres;2004T3;13,64
De 35 a 39 años;Mujeres;2004T2;13,54
De 35 a 39 años;Mujeres;2004T1;15,33
De 35 a 39 años;Mujeres;2003T4;14,17
De 35 a 39 años;Mujeres;2003T3;13,48
De 35 a 39 años;Mujeres;2003T2;14,86
De 35 a 39 años;Mujeres;2003T1;15,84
De 35 a 39 años;Mujeres;2002T4;14,68
De 35 a 39 años;Mujeres;2002T3;14,49
De 35 a 39 años;Mujeres;2002T2;15,18
De 35 a 39 años;Mujeres;2002T1;15,38
De 40 a 44 años;Ambos sexos;2025T4;8,17
De 40 a 44 años;Ambos sexos;2025T3;8,22
De 40 a 44 años;Ambos sexos;2025T2;8,62
De 40 a 44 años;Ambos sexos;2025T1;9,91
De 40 a 44 años;Ambos sexos;2024T4;8,56
De 40 a 44 años;Ambos sexos;2024T3;8,55
De 40 a 44 años;Ambos sexos;2024T2;9,00
De 40 a 44 años;Ambos sexos;2024T1;10,32
De 40 a 44 años;Ambos sexos;2023T4;8,72
De 40 a 44 años;Ambos sexos;2023T3;8,92
De 40 a 44 años;Ambos sexos;2023T2;9,24
De 40 a 44 años;Ambos sexos;2023T1;10,70
De 40 a 44 años;Ambos sexos;2022T4;10,03
De 40 a 44 años;Ambos sexos;2022T3;9,85
De 40 a 44 años;Ambos sexos;2022T2;10,35
De 40 a 44 años;Ambos sexos;2022T1;10,97
De 40 a 44 años;Ambos sexos;2021T4;10,43
De 40 a 44 años;Ambos sexos;2021T3;11,48
De 40 a 44 años;Ambos sexos;2021T2;11,23
De 40 a 44 años;Ambos sexos;2021T1;12,49
De 40 a 44 años;Ambos sexos;2020T4;12,48
De 40 a 44 años;Ambos sexos;2020T3;12,48
De 40 a 44 años;Ambos sexos;2020T2;11,96
De 40 a 44 años;Ambos sexos;2020T1;11,53
De 40 a 44 años;Ambos sexos;2019T4;10,79
De 40 a 44 años;Ambos sexos;2019T3;11,63
De 40 a 44 años;Ambos sexos;2019T2;11,32
De 40 a 44 años;Ambos sexos;2019T1;12,11
De 40 a 44 años;Ambos sexos;2018T4;11,27
De 40 a 44 años;Ambos sexos;2018T3;11,58
De 40 a 44 años;Ambos sexos;2018T2;11,83
De 40 a 44 años;Ambos sexos;2018T1;13,35
De 40 a 44 años;Ambos sexos;2017T4;13,09
De 40 a 44 años;Ambos sexos;2017T3;12,98
De 40 a 44 años;Ambos sexos;2017T2;13,80
De 40 a 44 años;Ambos sexos;2017T1;15,98
De 40 a 44 años;Ambos sexos;2016T4;15,07
De 40 a 44 años;Ambos sexos;2016T3;15,71
De 40 a 44 años;Ambos sexos;2016T2;17,11
De 40 a 44 años;Ambos sexos;2016T1;17,37
De 40 a 44 años;Ambos sexos;2015T4;17,29
De 40 a 44 años;Ambos sexos;2015T3;17,09
De 40 a 44 años;Ambos sexos;2015T2;18,39
De 40 a 44 años;Ambos sexos;2015T1;20,28
De 40 a 44 años;Ambos sexos;2014T4;20,83
De 40 a 44 años;Ambos sexos;2014T3;19,84
De 40 a 44 años;Ambos sexos;2014T2;21,42
De 40 a 44 años;Ambos sexos;2014T1;22,31
De 40 a 44 años;Ambos sexos;2013T4;22,07
De 40 a 44 años;Ambos sexos;2013T3;22,18
De 40 a 44 años;Ambos sexos;2013T2;22,33
De 40 a 44 años;Ambos sexos;2013T1;23,62
De 40 a 44 años;Ambos sexos;2012T4;22,80
De 40 a 44 años;Ambos sexos;2012T3;21,66
De 40 a 44 años;Ambos sexos;2012T2;21,66
De 40 a 44 años;Ambos sexos;2012T1;21,46
De 40 a 44 años;Ambos sexos;2011T4;20,51
De 40 a 44 años;Ambos sexos;2011T3;18,71
De 40 a 44 años;Ambos sexos;2011T2;18,30
De 40 a 44 años;Ambos sexos;2011T1;18,12
De 40 a 44 años;Ambos sexos;2010T4;17,38
De 40 a 44 años;Ambos sexos;2010T3;17,07
De 40 a 44 años;Ambos sexos;2010T2;17,36
De 40 a 44 años;Ambos sexos;2010T1;16,59
De 40 a 44 años;Ambos sexos;2009T4;16,01
De 40 a 44 años;Ambos sexos;2009T3;14,81
De 40 a 44 años;Ambos sexos;2009T2;15,36
De 40 a 44 años;Ambos sexos;2009T1;14,51
De 40 a 44 años;Ambos sexos;2008T4;12,25
De 40 a 44 años;Ambos sexos;2008T3;9,39
De 40 a 44 años;Ambos sexos;2008T2;8,79
De 40 a 44 años;Ambos sexos;2008T1;8,28
De 40 a 44 años;Ambos sexos;2007T4;7,31
De 40 a 44 años;Ambos sexos;2007T3;6,23
De 40 a 44 años;Ambos sexos;2007T2;6,50
De 40 a 44 años;Ambos sexos;2007T1;6,81
De 40 a 44 años;Ambos sexos;2006T4;6,67
De 40 a 44 años;Ambos sexos;2006T3;6,50
De 40 a 44 años;Ambos sexos;2006T2;6,86
De 40 a 44 años;Ambos sexos;2006T1;7,48
De 40 a 44 años;Ambos sexos;2005T4;6,74
De 40 a 44 años;Ambos sexos;2005T3;6,39
De 40 a 44 años;Ambos sexos;2005T2;7,10
De 40 a 44 años;Ambos sexos;2005T1;8,28
De 40 a 44 años;Ambos sexos;2004T4;8,26
De 40 a 44 años;Ambos sexos;2004T3;8,32
De 40 a 44 años;Ambos sexos;2004T2;9,34
De 40 a 44 años;Ambos sexos;2004T1;8,59
De 40 a 44 años;Ambos sexos;2003T4;8,65
De 40 a 44 años;Ambos sexos;2003T3;8,57
De 40 a 44 años;Ambos sexos;2003T2;8,62
De 40 a 44 años;Ambos sexos;2003T1;8,65
De 40 a 44 años;Ambos sexos;2002T4;8,95
De 40 a 44 años;Ambos sexos;2002T3;8,66
De 40 a 44 años;Ambos sexos;2002T2;8,21
De 40 a 44 años;Ambos sexos;2002T1;8,85
De 40 a 44 años;Hombres;2025T4;6,69
De 40 a 44 años;Hombres;2025T3;6,59
De 40 a 44 años;Hombres;2025T2;7,35
De 40 a 44 años;Hombres;2025T1;7,75
De 40 a 44 años;Hombres;2024T4;6,89
De 40 a 44 años;Hombres;2024T3;7,06
De 40 a 44 años;Hombres;2024T2;7,26
De 40 a 44 años;Hombres;2024T1;8,37
De 40 a 44 años;Hombres;2023T4;6,95
De 40 a 44 años;Hombres;2023T3;7,58
De 40 a 44 años;Hombres;2023T2;7,42
De 40 a 44 años;Hombres;2023T1;8,68
De 40 a 44 años;Hombres;2022T4;8,10
De 40 a 44 años;Hombres;2022T3;7,55
De 40 a 44 años;Hombres;2022T2;8,33
De 40 a 44 años;Hombres;2022T1;8,58
De 40 a 44 años;Hombres;2021T4;8,46
De 40 a 44 años;Hombres;2021T3;10,11
De 40 a 44 años;Hombres;2021T2;9,26
De 40 a 44 años;Hombres;2021T1;9,87
De 40 a 44 años;Hombres;2020T4;9,54
De 40 a 44 años;Hombres;2020T3;10,06
De 40 a 44 años;Hombres;2020T2;10,38
De 40 a 44 años;Hombres;2020T1;9,50
De 40 a 44 años;Hombres;2019T4;8,58
De 40 a 44 años;Hombres;2019T3;9,25
De 40 a 44 años;Hombres;2019T2;9,29
De 40 a 44 años;Hombres;2019T1;9,78
De 40 a 44 años;Hombres;2018T4;8,62
De 40 a 44 años;Hombres;2018T3;9,80
De 40 a 44 años;Hombres;2018T2;9,33
De 40 a 44 años;Hombres;2018T1;10,73
De 40 a 44 años;Hombres;2017T4;10,51
De 40 a 44 años;Hombres;2017T3;10,06
De 40 a 44 años;Hombres;2017T2;10,96
De 40 a 44 años;Hombres;2017T1;13,19
De 40 a 44 años;Hombres;2016T4;13,30
De 40 a 44 años;Hombres;2016T3;13,63
De 40 a 44 años;Hombres;2016T2;15,02
De 40 a 44 años;Hombres;2016T1;15,02
De 40 a 44 años;Hombres;2015T4;15,03
De 40 a 44 años;Hombres;2015T3;14,87
De 40 a 44 años;Hombres;2015T2;15,35
De 40 a 44 años;Hombres;2015T1;17,57
De 40 a 44 años;Hombres;2014T4;18,43
De 40 a 44 años;Hombres;2014T3;17,88
De 40 a 44 años;Hombres;2014T2;19,44
De 40 a 44 años;Hombres;2014T1;20,94
De 40 a 44 años;Hombres;2013T4;20,44
De 40 a 44 años;Hombres;2013T3;21,32
De 40 a 44 años;Hombres;2013T2;21,27
De 40 a 44 años;Hombres;2013T1;22,63
De 40 a 44 años;Hombres;2012T4;22,28
De 40 a 44 años;Hombres;2012T3;20,68
De 40 a 44 años;Hombres;2012T2;20,55
De 40 a 44 años;Hombres;2012T1;19,29
De 40 a 44 años;Hombres;2011T4;19,42
De 40 a 44 años;Hombres;2011T3;17,66
De 40 a 44 años;Hombres;2011T2;17,42
De 40 a 44 años;Hombres;2011T1;17,17
De 40 a 44 años;Hombres;2010T4;16,50
De 40 a 44 años;Hombres;2010T3;16,59
De 40 a 44 años;Hombres;2010T2;16,95
De 40 a 44 años;Hombres;2010T1;16,66
De 40 a 44 años;Hombres;2009T4;15,66
De 40 a 44 años;Hombres;2009T3;14,28
De 40 a 44 años;Hombres;2009T2;14,63
De 40 a 44 años;Hombres;2009T1;14,00
De 40 a 44 años;Hombres;2008T4;10,59
De 40 a 44 años;Hombres;2008T3;8,06
De 40 a 44 años;Hombres;2008T2;7,00
De 40 a 44 años;Hombres;2008T1;5,60
De 40 a 44 años;Hombres;2007T4;4,94
De 40 a 44 años;Hombres;2007T3;4,39
De 40 a 44 años;Hombres;2007T2;4,71
De 40 a 44 años;Hombres;2007T1;4,89
De 40 a 44 años;Hombres;2006T4;4,66
De 40 a 44 años;Hombres;2006T3;4,61
De 40 a 44 años;Hombres;2006T2;4,68
De 40 a 44 años;Hombres;2006T1;5,04
De 40 a 44 años;Hombres;2005T4;4,04
De 40 a 44 años;Hombres;2005T3;4,88
De 40 a 44 años;Hombres;2005T2;5,13
De 40 a 44 años;Hombres;2005T1;5,26
De 40 a 44 años;Hombres;2004T4;5,00
De 40 a 44 años;Hombres;2004T3;5,06
De 40 a 44 años;Hombres;2004T2;5,82
De 40 a 44 años;Hombres;2004T1;5,50
De 40 a 44 años;Hombres;2003T4;6,09
De 40 a 44 años;Hombres;2003T3;5,55
De 40 a 44 años;Hombres;2003T2;5,65
De 40 a 44 años;Hombres;2003T1;6,11
De 40 a 44 años;Hombres;2002T4;6,62
De 40 a 44 años;Hombres;2002T3;6,02
De 40 a 44 años;Hombres;2002T2;5,52
De 40 a 44 años;Hombres;2002T1;6,04
De 40 a 44 años;Mujeres;2025T4;9,78
De 40 a 44 años;Mujeres;2025T3;9,99
De 40 a 44 años;Mujeres;2025T2;10,02
De 40 a 44 años;Mujeres;2025T1;12,21
De 40 a 44 años;Mujeres;2024T4;10,38
De 40 a 44 años;Mujeres;2024T3;10,19
De 40 a 44 años;Mujeres;2024T2;10,89
De 40 a 44 años;Mujeres;2024T1;12,45
De 40 a 44 años;Mujeres;2023T4;10,66
De 40 a 44 años;Mujeres;2023T3;10,40
De 40 a 44 años;Mujeres;2023T2;11,27
De 40 a 44 años;Mujeres;2023T1;12,91
De 40 a 44 años;Mujeres;2022T4;12,16
De 40 a 44 años;Mujeres;2022T3;12,42
De 40 a 44 años;Mujeres;2022T2;12,63
De 40 a 44 años;Mujeres;2022T1;13,64
De 40 a 44 años;Mujeres;2021T4;12,62
De 40 a 44 años;Mujeres;2021T3;13,00
De 40 a 44 años;Mujeres;2021T2;13,43
De 40 a 44 años;Mujeres;2021T1;15,42
De 40 a 44 años;Mujeres;2020T4;15,69
De 40 a 44 años;Mujeres;2020T3;15,19
De 40 a 44 años;Mujeres;2020T2;13,74
De 40 a 44 años;Mujeres;2020T1;13,79
De 40 a 44 años;Mujeres;2019T4;13,25
De 40 a 44 años;Mujeres;2019T3;14,29
De 40 a 44 años;Mujeres;2019T2;13,61
De 40 a 44 años;Mujeres;2019T1;14,74
De 40 a 44 años;Mujeres;2018T4;14,25
De 40 a 44 años;Mujeres;2018T3;13,62
De 40 a 44 años;Mujeres;2018T2;14,69
De 40 a 44 años;Mujeres;2018T1;16,29
De 40 a 44 años;Mujeres;2017T4;16,03
De 40 a 44 años;Mujeres;2017T3;16,32
De 40 a 44 años;Mujeres;2017T2;17,00
De 40 a 44 años;Mujeres;2017T1;19,14
De 40 a 44 años;Mujeres;2016T4;17,10
De 40 a 44 años;Mujeres;2016T3;18,09
De 40 a 44 años;Mujeres;2016T2;19,50
De 40 a 44 años;Mujeres;2016T1;20,09
De 40 a 44 años;Mujeres;2015T4;19,93
De 40 a 44 años;Mujeres;2015T3;19,77
De 40 a 44 años;Mujeres;2015T2;21,92
De 40 a 44 años;Mujeres;2015T1;23,44
De 40 a 44 años;Mujeres;2014T4;23,63
De 40 a 44 años;Mujeres;2014T3;22,17
De 40 a 44 años;Mujeres;2014T2;23,74
De 40 a 44 años;Mujeres;2014T1;23,91
De 40 a 44 años;Mujeres;2013T4;23,97
De 40 a 44 años;Mujeres;2013T3;23,19
De 40 a 44 años;Mujeres;2013T2;23,57
De 40 a 44 años;Mujeres;2013T1;24,79
De 40 a 44 años;Mujeres;2012T4;23,41
De 40 a 44 años;Mujeres;2012T3;22,83
De 40 a 44 años;Mujeres;2012T2;22,99
De 40 a 44 años;Mujeres;2012T1;24,05
De 40 a 44 años;Mujeres;2011T4;21,84
De 40 a 44 años;Mujeres;2011T3;20,01
De 40 a 44 años;Mujeres;2011T2;19,40
De 40 a 44 años;Mujeres;2011T1;19,29
De 40 a 44 años;Mujeres;2010T4;18,49
De 40 a 44 años;Mujeres;2010T3;17,69
De 40 a 44 años;Mujeres;2010T2;17,87
De 40 a 44 años;Mujeres;2010T1;16,50
De 40 a 44 años;Mujeres;2009T4;16,44
De 40 a 44 años;Mujeres;2009T3;15,46
De 40 a 44 años;Mujeres;2009T2;16,27
De 40 a 44 años;Mujeres;2009T1;15,15
De 40 a 44 años;Mujeres;2008T4;14,36
De 40 a 44 años;Mujeres;2008T3;11,13
De 40 a 44 años;Mujeres;2008T2;11,13
De 40 a 44 años;Mujeres;2008T1;11,79
De 40 a 44 años;Mujeres;2007T4;10,43
De 40 a 44 años;Mujeres;2007T3;8,69
De 40 a 44 años;Mujeres;2007T2;8,85
De 40 a 44 años;Mujeres;2007T1;9,32
De 40 a 44 años;Mujeres;2006T4;9,34
De 40 a 44 años;Mujeres;2006T3;9,04
De 40 a 44 años;Mujeres;2006T2;9,79
De 40 a 44 años;Mujeres;2006T1;10,83
De 40 a 44 años;Mujeres;2005T4;10,42
De 40 a 44 años;Mujeres;2005T3;8,50
De 40 a 44 años;Mujeres;2005T2;9,77
De 40 a 44 años;Mujeres;2005T1;12,50
De 40 a 44 años;Mujeres;2004T4;12,77
De 40 a 44 años;Mujeres;2004T3;12,87
De 40 a 44 años;Mujeres;2004T2;14,27
De 40 a 44 años;Mujeres;2004T1;12,95
De 40 a 44 años;Mujeres;2003T4;12,27
De 40 a 44 años;Mujeres;2003T3;12,90
De 40 a 44 años;Mujeres;2003T2;12,92
De 40 a 44 años;Mujeres;2003T1;12,34
De 40 a 44 años;Mujeres;2002T4;12,33
De 40 a 44 años;Mujeres;2002T3;12,57
De 40 a 44 años;Mujeres;2002T2;12,18
De 40 a 44 años;Mujeres;2002T1;13,02
De 45 a 49 años;Ambos sexos;2025T4;7,83
De 45 a 49 años;Ambos sexos;2025T3;7,65
De 45 a 49 años;Ambos sexos;2025T2;7,89
De 45 a 49 años;Ambos sexos;2025T1;8,88
De 45 a 49 años;Ambos sexos;2024T4;7,98
De 45 a 49 años;Ambos sexos;2024T3;7,84
De 45 a 49 años;Ambos sexos;2024T2;9,20
De 45 a 49 años;Ambos sexos;2024T1;10,19
De 45 a 49 años;Ambos sexos;2023T4;9,09
De 45 a 49 años;Ambos sexos;2023T3;9,09
De 45 a 49 años;Ambos sexos;2023T2;8,76
De 45 a 49 años;Ambos sexos;2023T1;10,81
De 45 a 49 años;Ambos sexos;2022T4;10,52
De 45 a 49 años;Ambos sexos;2022T3;9,41
De 45 a 49 años;Ambos sexos;2022T2;9,50
De 45 a 49 años;Ambos sexos;2022T1;10,56
De 45 a 49 años;Ambos sexos;2021T4;10,65
De 45 a 49 años;Ambos sexos;2021T3;11,22
De 45 a 49 años;Ambos sexos;2021T2;11,76
De 45 a 49 años;Ambos sexos;2021T1;12,68
De 45 a 49 años;Ambos sexos;2020T4;12,73
De 45 a 49 años;Ambos sexos;2020T3;13,18
De 45 a 49 años;Ambos sexos;2020T2;11,68
De 45 a 49 años;Ambos sexos;2020T1;11,82
De 45 a 49 años;Ambos sexos;2019T4;11,47
De 45 a 49 años;Ambos sexos;2019T3;11,11
De 45 a 49 años;Ambos sexos;2019T2;11,20
De 45 a 49 años;Ambos sexos;2019T1;12,42
De 45 a 49 años;Ambos sexos;2018T4;11,57
De 45 a 49 años;Ambos sexos;2018T3;12,06
De 45 a 49 años;Ambos sexos;2018T2;13,64
De 45 a 49 años;Ambos sexos;2018T1;14,22
De 45 a 49 años;Ambos sexos;2017T4;14,24
De 45 a 49 años;Ambos sexos;2017T3;14,08
De 45 a 49 años;Ambos sexos;2017T2;14,99
De 45 a 49 años;Ambos sexos;2017T1;16,94
De 45 a 49 años;Ambos sexos;2016T4;16,01
De 45 a 49 años;Ambos sexos;2016T3;16,60
De 45 a 49 años;Ambos sexos;2016T2;16,62
De 45 a 49 años;Ambos sexos;2016T1;18,68
De 45 a 49 años;Ambos sexos;2015T4;18,76
De 45 a 49 años;Ambos sexos;2015T3;19,00
De 45 a 49 años;Ambos sexos;2015T2;20,41
De 45 a 49 años;Ambos sexos;2015T1;21,72
De 45 a 49 años;Ambos sexos;2014T4;20,64
De 45 a 49 años;Ambos sexos;2014T3;20,89
De 45 a 49 años;Ambos sexos;2014T2;22,18
De 45 a 49 años;Ambos sexos;2014T1;23,23
De 45 a 49 años;Ambos sexos;2013T4;22,23
De 45 a 49 años;Ambos sexos;2013T3;22,60
De 45 a 49 años;Ambos sexos;2013T2;23,45
De 45 a 49 años;Ambos sexos;2013T1;23,45
De 45 a 49 años;Ambos sexos;2012T4;21,88
De 45 a 49 años;Ambos sexos;2012T3;21,50
De 45 a 49 años;Ambos sexos;2012T2;21,12
De 45 a 49 años;Ambos sexos;2012T1;20,40
De 45 a 49 años;Ambos sexos;2011T4;19,08
De 45 a 49 años;Ambos sexos;2011T3;17,66
De 45 a 49 años;Ambos sexos;2011T2;16,68
De 45 a 49 años;Ambos sexos;2011T1;17,75
De 45 a 49 años;Ambos sexos;2010T4;15,98
De 45 a 49 años;Ambos sexos;2010T3;15,09
De 45 a 49 años;Ambos sexos;2010T2;15,99
De 45 a 49 años;Ambos sexos;2010T1;16,20
De 45 a 49 años;Ambos sexos;2009T4;14,42
De 45 a 49 años;Ambos sexos;2009T3;13,38
De 45 a 49 años;Ambos sexos;2009T2;13,94
De 45 a 49 años;Ambos sexos;2009T1;13,95
De 45 a 49 años;Ambos sexos;2008T4;10,64
De 45 a 49 años;Ambos sexos;2008T3;8,29
De 45 a 49 años;Ambos sexos;2008T2;7,81
De 45 a 49 años;Ambos sexos;2008T1;7,25
De 45 a 49 años;Ambos sexos;2007T4;7,04
De 45 a 49 años;Ambos sexos;2007T3;6,33
De 45 a 49 años;Ambos sexos;2007T2;5,86
De 45 a 49 años;Ambos sexos;2007T1;5,89
De 45 a 49 años;Ambos sexos;2006T4;5,88
De 45 a 49 años;Ambos sexos;2006T3;5,56
De 45 a 49 años;Ambos sexos;2006T2;5,33
De 45 a 49 años;Ambos sexos;2006T1;6,46
De 45 a 49 años;Ambos sexos;2005T4;6,49
De 45 a 49 años;Ambos sexos;2005T3;5,96
De 45 a 49 años;Ambos sexos;2005T2;6,49
De 45 a 49 años;Ambos sexos;2005T1;7,37
De 45 a 49 años;Ambos sexos;2004T4;7,84
De 45 a 49 años;Ambos sexos;2004T3;7,88
De 45 a 49 años;Ambos sexos;2004T2;7,92
De 45 a 49 años;Ambos sexos;2004T1;7,87
De 45 a 49 años;Ambos sexos;2003T4;7,96
De 45 a 49 años;Ambos sexos;2003T3;7,47
De 45 a 49 años;Ambos sexos;2003T2;8,00
De 45 a 49 años;Ambos sexos;2003T1;8,70
De 45 a 49 años;Ambos sexos;2002T4;8,26
De 45 a 49 años;Ambos sexos;2002T3;8,05
De 45 a 49 años;Ambos sexos;2002T2;7,78
De 45 a 49 años;Ambos sexos;2002T1;7,68
De 45 a 49 años;Hombres;2025T4;6,02
De 45 a 49 años;Hombres;2025T3;6,22
De 45 a 49 años;Hombres;2025T2;6,67
De 45 a 49 años;Hombres;2025T1;7,63
De 45 a 49 años;Hombres;2024T4;6,99
De 45 a 49 años;Hombres;2024T3;6,68
De 45 a 49 años;Hombres;2024T2;7,42
De 45 a 49 años;Hombres;2024T1;8,08
De 45 a 49 años;Hombres;2023T4;7,18
De 45 a 49 años;Hombres;2023T3;6,75
De 45 a 49 años;Hombres;2023T2;6,71
De 45 a 49 años;Hombres;2023T1;8,59
De 45 a 49 años;Hombres;2022T4;8,61
De 45 a 49 años;Hombres;2022T3;7,41
De 45 a 49 años;Hombres;2022T2;7,18
De 45 a 49 años;Hombres;2022T1;7,77
De 45 a 49 años;Hombres;2021T4;7,79
De 45 a 49 años;Hombres;2021T3;8,85
De 45 a 49 años;Hombres;2021T2;8,79
De 45 a 49 años;Hombres;2021T1;10,03
De 45 a 49 años;Hombres;2020T4;10,04
De 45 a 49 años;Hombres;2020T3;10,78
De 45 a 49 años;Hombres;2020T2;10,24
De 45 a 49 años;Hombres;2020T1;9,90
De 45 a 49 años;Hombres;2019T4;9,50
De 45 a 49 años;Hombres;2019T3;9,29
De 45 a 49 años;Hombres;2019T2;9,19
De 45 a 49 años;Hombres;2019T1;9,95
De 45 a 49 años;Hombres;2018T4;9,22
De 45 a 49 años;Hombres;2018T3;10,00
De 45 a 49 años;Hombres;2018T2;11,69
De 45 a 49 años;Hombres;2018T1;12,13
De 45 a 49 años;Hombres;2017T4;12,39
De 45 a 49 años;Hombres;2017T3;12,12
De 45 a 49 años;Hombres;2017T2;12,58
De 45 a 49 años;Hombres;2017T1;14,31
De 45 a 49 años;Hombres;2016T4;13,64
De 45 a 49 años;Hombres;2016T3;14,34
De 45 a 49 años;Hombres;2016T2;14,12
De 45 a 49 años;Hombres;2016T1;16,86
De 45 a 49 años;Hombres;2015T4;16,50
De 45 a 49 años;Hombres;2015T3;17,05
De 45 a 49 años;Hombres;2015T2;17,56
De 45 a 49 años;Hombres;2015T1;19,14
De 45 a 49 años;Hombres;2014T4;19,31
De 45 a 49 años;Hombres;2014T3;19,39
De 45 a 49 años;Hombres;2014T2;21,07
De 45 a 49 años;Hombres;2014T1;22,54
De 45 a 49 años;Hombres;2013T4;21,59
De 45 a 49 años;Hombres;2013T3;22,00
De 45 a 49 años;Hombres;2013T2;22,45
De 45 a 49 años;Hombres;2013T1;22,69
De 45 a 49 años;Hombres;2012T4;20,89
De 45 a 49 años;Hombres;2012T3;20,58
De 45 a 49 años;Hombres;2012T2;20,53
De 45 a 49 años;Hombres;2012T1;19,81
De 45 a 49 años;Hombres;2011T4;17,79
De 45 a 49 años;Hombres;2011T3;16,80
De 45 a 49 años;Hombres;2011T2;16,02
De 45 a 49 años;Hombres;2011T1;16,20
De 45 a 49 años;Hombres;2010T4;14,57
De 45 a 49 años;Hombres;2010T3;14,13
De 45 a 49 años;Hombres;2010T2;14,56
De 45 a 49 años;Hombres;2010T1;15,25
De 45 a 49 años;Hombres;2009T4;13,80
De 45 a 49 años;Hombres;2009T3;12,47
De 45 a 49 años;Hombres;2009T2;13,33
De 45 a 49 años;Hombres;2009T1;13,47
De 45 a 49 años;Hombres;2008T4;9,86
De 45 a 49 años;Hombres;2008T3;7,98
De 45 a 49 años;Hombres;2008T2;7,05
De 45 a 49 años;Hombres;2008T1;6,12
De 45 a 49 años;Hombres;2007T4;5,71
De 45 a 49 años;Hombres;2007T3;4,73
De 45 a 49 años;Hombres;2007T2;4,15
De 45 a 49 años;Hombres;2007T1;3,94
De 45 a 49 años;Hombres;2006T4;4,02
De 45 a 49 años;Hombres;2006T3;3,66
De 45 a 49 años;Hombres;2006T2;3,70
De 45 a 49 años;Hombres;2006T1;4,77
De 45 a 49 años;Hombres;2005T4;4,51
De 45 a 49 años;Hombres;2005T3;4,27
De 45 a 49 años;Hombres;2005T2;4,30
De 45 a 49 años;Hombres;2005T1;5,50
De 45 a 49 años;Hombres;2004T4;5,68
De 45 a 49 años;Hombres;2004T3;5,96
De 45 a 49 años;Hombres;2004T2;5,52
De 45 a 49 años;Hombres;2004T1;5,29
De 45 a 49 años;Hombres;2003T4;5,09
De 45 a 49 años;Hombres;2003T3;4,84
De 45 a 49 años;Hombres;2003T2;5,17
De 45 a 49 años;Hombres;2003T1;5,01
De 45 a 49 años;Hombres;2002T4;5,19
De 45 a 49 años;Hombres;2002T3;4,59
De 45 a 49 años;Hombres;2002T2;4,60
De 45 a 49 años;Hombres;2002T1;5,49
De 45 a 49 años;Mujeres;2025T4;9,85
De 45 a 49 años;Mujeres;2025T3;9,23
De 45 a 49 años;Mujeres;2025T2;9,24
De 45 a 49 años;Mujeres;2025T1;10,28
De 45 a 49 años;Mujeres;2024T4;9,08
De 45 a 49 años;Mujeres;2024T3;9,12
De 45 a 49 años;Mujeres;2024T2;11,13
De 45 a 49 años;Mujeres;2024T1;12,50
De 45 a 49 años;Mujeres;2023T4;11,21
De 45 a 49 años;Mujeres;2023T3;11,66
De 45 a 49 años;Mujeres;2023T2;11,07
De 45 a 49 años;Mujeres;2023T1;13,30
De 45 a 49 años;Mujeres;2022T4;12,66
De 45 a 49 años;Mujeres;2022T3;11,69
De 45 a 49 años;Mujeres;2022T2;12,16
De 45 a 49 años;Mujeres;2022T1;13,73
De 45 a 49 años;Mujeres;2021T4;13,93
De 45 a 49 años;Mujeres;2021T3;13,98
