Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T4;85,2690
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T3;80,1005
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T2;81,7373
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T1;77,6372
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T4;81,4625
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T3;76,3145
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T2;77,5714
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T1;73,2089
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T4;78,1685
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T3;72,8779
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T2;74,1784
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T1;70,0723
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T4;75,3611
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T3;69,8390
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T2;70,9939
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T1;66,6762
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T4;71,8981
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T3;67,2689
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T2;68,6672
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T1;64,9365
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T4;69,8516
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T3;65,1535
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T2;67,2381
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T1;63,4584
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2025T4;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2025T3;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2025T2;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2025T1;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2024T4;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2024T3;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2024T2;4,3982
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2024T1;-3,7632
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2023T4;3,7221
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2023T3;-0,9144
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2023T2;3,6675
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2023T1;-4,2666
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2022T4;3,2575
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2022T3;-0,3374
